node_id,regime_label,start_date,end_date,num_quarters,avg_hpi,avg_qoq_growth_pct,avg_yoy_growth_pct,avg_unemployment_pct,avg_mortgage_rate_pct,avg_cpi
cube28_cluster0,Moderate Growth,2004-06-30,2007-09-30,13,154.34,0.87,3.05,4.12,6.12,197.58
cube27_cluster0,Slow Recovery / Normal,2004-06-30,2006-06-30,9,151.54,0.63,2.81,4.24,6.01,194.53
cube30_cluster0,Healthy Expansion,2006-09-30,2008-06-30,8,163.03,0.95,3.64,3.69,6.26,207.9
cube25_cluster0,Healthy Expansion,2006-09-30,2008-06-30,8,163.03,0.95,3.64,3.69,6.26,207.9
cube35_cluster0,Healthy Expansion,2006-12-31,2008-06-30,7,163.85,0.94,3.72,3.69,6.22,208.57
cube34_cluster0,Healthy Expansion,2006-12-31,2007-09-30,3,161.73,1.53,3.76,3.87,6.34,204.86
cube36_cluster0,Healthy Expansion,2006-12-31,2008-06-30,7,163.85,0.94,3.72,3.69,6.22,208.57
cube42_cluster0,Recession Stress,2010-06-30,2010-12-31,3,167.51,0.1,-0.04,6.64,4.6,218.31
cube41_cluster0,Recession Stress,2010-06-30,2010-12-31,3,167.51,0.1,-0.04,6.64,4.6,218.31
cube41_cluster1,Stagnant / Slow Recovery,2011-06-30,2011-12-31,3,162.83,0.29,-2.79,5.72,4.31,225.88
cube42_cluster1,Stagnant / Slow Recovery,2011-06-30,2011-12-31,3,162.83,0.29,-2.79,5.72,4.31,225.88
cube42_cluster2,Slow Recovery / Normal,2012-03-31,2013-06-30,6,165.37,0.26,1.29,5.21,3.63,230.45
cube41_cluster2,Slow Recovery / Normal,2012-03-31,2016-12-31,14,173.3,0.43,2.4,4.78,3.74,235.2
cube36_cluster1,Slow Recovery / Normal,2012-03-31,2013-06-30,6,165.37,0.26,1.29,5.21,3.63,230.45
cube35_cluster1,Slow Recovery / Normal,2012-03-31,2016-12-31,14,173.3,0.43,2.4,4.78,3.74,235.2
cube34_cluster1,Slow Recovery / Normal,2012-09-30,2018-06-30,20,179.21,0.81,2.84,4.46,3.95,239.48
cube40_cluster0,Slow Recovery / Normal,2012-09-30,2018-06-30,20,179.21,0.81,2.84,4.46,3.95,239.48
cube39_cluster0,Healthy Expansion,2013-09-30,2020-03-31,21,188.48,0.84,3.38,3.87,4.11,245.92
cube33_cluster0,Moderate Growth,2013-09-30,2019-03-31,17,184.35,0.75,3.19,4.06,4.2,243.31
cube35_cluster2,Moderate Growth,2015-03-31,2015-06-30,2,176.58,2.02,4.65,4.27,3.77,236.16
cube40_cluster1,Moderate Growth,2015-03-31,2015-06-30,2,176.58,2.02,4.65,4.27,3.77,236.16
cube41_cluster3,Moderate Growth,2015-03-31,2015-06-30,2,176.58,2.02,4.65,4.27,3.77,236.16
cube34_cluster2,Moderate Growth,2015-03-31,2015-06-30,2,176.58,2.02,4.65,4.27,3.77,236.16
cube40_cluster2,Housing Boom,2020-12-31,2021-03-31,2,222.46,2.31,6.62,5.33,2.82,262.42
cube39_cluster1,Housing Boom,2020-12-31,2021-03-31,2,222.46,2.31,6.62,5.33,2.82,262.42
cube38_cluster0,Healthy Expansion,2024-06-30,2025-03-31,4,321.73,1.5,4.89,3.23,6.74,315.82
cube32_cluster0,Healthy Expansion,2024-06-30,2025-03-31,4,321.73,1.5,4.89,3.23,6.74,315.82
cube26_cluster0,Healthy Expansion,2024-09-30,2024-12-31,2,320.74,1.13,4.6,3.2,6.57,315.35
cube32_cluster1,Healthy Expansion,2025-06-30,2025-09-30,2,329.79,0.05,3.99,3.12,6.68,322.01
cube26_cluster1,Healthy Expansion,2025-06-30,2025-09-30,2,329.79,0.05,3.99,3.12,6.68,322.01
cube38_cluster1,Healthy Expansion,2025-06-30,2025-09-30,2,329.79,0.05,3.99,3.12,6.68,322.01
